 listing_id |                           name                            |              city              |                                 avatar                                 |    owner    | ownertype | guests | beds | rooms | baths | responserate |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                    amenities                                                                                                                                                                     |                                       rules                                        |                                   cancellation                                   |                                       related1                                       |                                      related2                                      |                                      related3                                      |      location      |                                          nearbycities                                          
------------+-----------------------------------------------------------+--------------------------------+------------------------------------------------------------------------+-------------+-----------+--------+------+-------+-------+--------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+--------------------+------------------------------------------------------------------------------------------------
          2 | Vintage Concept Flat in Chic Neighbourhood                | Tokyo                          | https://s3.amazonaws.com/uifaces/faces/twitter/linkibol/128.jpg        | London      | none      |      6 |    1 |     2 |     2 |           99 | The space. Una habitación doble en un apartamento tranquilo situada en un edificio histórico que data de la época medieval. A pocos metros se situan el Museo Picasso, boutiques independientes, galerías de arte, talleres de artistas y gran número de edificios representativos de Barcelona. Todo ello en la zona del Borne conocido por la gran cantidad de bares y restaurantes de moda que contiene.Cuando el clima lo permita se puede disfrutar en la terraza privada, que por supuesto estará a disposición de los huéspedes durante su estancia, resulta un lugar ideal para leer un libro o tomar una copa de vino después de un día de turismo.Varias estaciones de metro y paradas de autobuses están muy cerca, sin embargo la mayoría de las atracciones turísticas se encuentran a corta distancia, la catedral, Santa Maria del Mar, las playas y las Ramblas se encuentran a menos de 10 minutos.El Vaixell de papel (El barco de papel) - quiere significar algo tan frágil y al mismo tiempo capaz de una gran fortaleza!Other things to notePlease note that there will be a €40 charge payable in cash for check-ins later than 23:00pm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Dryer Beachfront Fire extinguisher Kitchen First aid kit Free parking on premises Beach blanket Iron Iron Stove Smoke detector Beach towels First aid kit Essentials Washer                                                                                                                                                                      | Repellendus soluta corporis laboriosam et eum est.                                 | Laboriosam corporis iste minus nobis amet.                                       | Qui nihil temporibus voluptate deserunt quia.                                        | Dolorum quibusdam quia omnis modi quia non quia deleniti dolorum.                  | Accusantium omnis vero tempore asperiores error est aut est ducimus.               | 30.5236,-0.8773    | Tokyo,Honolulu,San Diego,Honolulu,Barcelona
          9 | Stroll to Sagrada Familia from a Sunlit Apartment         | Westwood                       | https://s3.amazonaws.com/uifaces/faces/twitter/chaensel/128.jpg        | Jaclyn      | none      |      2 |    2 |     3 |     3 |           72 | The space. Una habitación doble en un apartamento tranquilo situada en un edificio histórico que data de la época medieval. A pocos metros se situan el Museo Picasso, boutiques independientes, galerías de arte, talleres de artistas y gran número de edificios representativos de Barcelona. Todo ello en la zona del Borne conocido por la gran cantidad de bares y restaurantes de moda que contiene.Cuando el clima lo permita se puede disfrutar en la terraza privada, que por supuesto estará a disposición de los huéspedes durante su estancia, resulta un lugar ideal para leer un libro o tomar una copa de vino después de un día de turismo.Varias estaciones de metro y paradas de autobuses están muy cerca, sin embargo la mayoría de las atracciones turísticas se encuentran a corta distancia, la catedral, Santa Maria del Mar, las playas y las Ramblas se encuentran a menos de 10 minutos.El Vaixell de papel (El barco de papel) - quiere significar algo tan frágil y al mismo tiempo capaz de una gran fortaleza!Other things to notePlease note that there will be a €40 charge payable in cash for check-ins later than 23:00pm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Pots and pans, oil, salt and pepper Dining Dishes and silverware Extra pillows and blankets Coffee maker TV Washer Fire extinguisher BBQ grill Fire extinguisher Extra pillows and blankets Essentials Hangers Hangers Beach essentials                                                                                                          | Id dolorum dolorum enim ab nostrum ut neque quas a.                                | Esse exercitationem perspiciatis qui.                                            | Error voluptas sunt.                                                                 | Sunt error veniam quo sit esse ratione doloremque.                                 | Illum id iusto.                                                                    | 29.1768,-18.9047   | San Diego,Tokyo,Punta Cana, Dominican Republic,Oakland,Barcelona
         11 | Brownstone Studio                                         | Tokyo                          | https://s3.amazonaws.com/uifaces/faces/twitter/jnmnrd/128.jpg          | Lazaro      | none      |      4 |    2 |     3 |     1 |            9 | The space. Una habitación doble en un apartamento tranquilo situada en un edificio histórico que data de la época medieval. A pocos metros se situan el Museo Picasso, boutiques independientes, galerías de arte, talleres de artistas y gran número de edificios representativos de Barcelona. Todo ello en la zona del Borne conocido por la gran cantidad de bares y restaurantes de moda que contiene.Cuando el clima lo permita se puede disfrutar en la terraza privada, que por supuesto estará a disposición de los huéspedes durante su estancia, resulta un lugar ideal para leer un libro o tomar una copa de vino después de un día de turismo.Varias estaciones de metro y paradas de autobuses están muy cerca, sin embargo la mayoría de las atracciones turísticas se encuentran a corta distancia, la catedral, Santa Maria del Mar, las playas y las Ramblas se encuentran a menos de 10 minutos.El Vaixell de papel (El barco de papel) - quiere significar algo tan frágil y al mismo tiempo capaz de una gran fortaleza!Other things to notePlease note that there will be a €40 charge payable in cash for check-ins later than 23:00pm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Umbrella Beach blanket Kitchen Coffee maker Space where guests can cook their own meals Pots and pans, oil, salt and pepper Fire extinguisher Umbrella Dining Smoke detector Separate street or building entrance Dining Beach towels Iron Outdoor                                                                                               | Cumque aliquid sit illo ipsa quis qui voluptate.                                   | Itaque totam aspernatur itaque sequi eos.                                        | Dolores nemo hic sed inventore eveniet vero molestias dolor.                         | Et laborum similique earum occaecati voluptas.                                     | Inventore aliquam aspernatur iste officia.                                         | -78.7254,-66.9190  | Barcelona,Punta Cana, Dominican Republic,Barcelona,Barcelona,Oakland
         12 | Beachfront Villa Near Boardwalk                           | Oakland                        | https://s3.amazonaws.com/uifaces/faces/twitter/reideiredale/128.jpg    | Earl        | Plus      |      6 |    5 |     1 |     1 |           12 | This is a quaint cabin tucked in the trees on the east shore of Lake Almanor. The warm, shallow water makes it perfect for little ones to play or hook up to a bouy to just float. Can hook a boat to the outter bouy as well. Beach is used only by neighbors so it’s quiet. There’s also a picnic table and fire pit for s’mores. Town of Chester is 10 minutes away with shops, dining, rentals, parks and soft swirl ice cream, a must! A couple hiking trails are out front door and across the street.  The spaceThe main living area is cozy and there’s a family size picnic table perfect for meals or family games. Two bedrooms off kitchen with full bath and laundry facilities. Upstairs is a loft with small library and a curtained off queen bed with half bath. Our deck is large and the perfect spot for a glass of wine or beer while you BBQ and watch the sunset over Mt. Lassen, we’re 100 feet from lakes edge. Once the sun goes down there’s string lights and a fire top table with comfortable chairs to enjoy the cool evening air. The kitchen is fully stocked with cooking utensils and plastic ware for kids. The house comfortably sleeps 6 but there’s a pull out couch for 2 more and space in the loft for an air mattress. You can also pitch a tent in front of the deck for more sleeping space. We also offer beach towels, chairs, loungers, umbrellas, two kayaks and a paddle boat for your enjoyment.Interaction with guests. We are available by phone to answer any questions but have the most fabulous neighbors who are extremely friendly and full of great information.                  | Dishwasher Washer Towels, bed sheets, soap, and toilet paper Beach essentials Coffee maker Free parking on premises Heating Pots and pans, oil, salt and pepper TV Umbrella Snorkeling gear Kitchen Hot water Heating Space where guests can cook their own meals                                                                                | Ipsam omnis neque vero nesciunt occaecati consequatur quis ut.                     | Id perspiciatis quidem perferendis.                                              | Consectetur illum dolores eius inventore exercitationem.                             | Laborum nulla cupiditate perferendis cupiditate sint cupiditate assumenda.         | Enim nemo sint voluptate in ad et.                                                 | -63.7484,111.9690  | Westwood,New York,Oakland,Tokyo,Punta Cana, Dominican Republic
         15 | Stroll to Sagrada Familia from a Sunlit Apartment         | San Francisco                  | https://s3.amazonaws.com/uifaces/faces/twitter/cherif_b/128.jpg        | Patricia    | Plus      |      3 |    5 |     4 |     1 |           19 | Prime location with parking. Walking distance to UCLA. Minutes from Santa Monica, Venice, Hollywood and other tourist attractions. Full kitchen with appliances, A/C unit, and Wi-Fi.The spaceIf you are visiting Los Angeles and looking to be in a prime location within close proximity to the citys touristic attractions and famous beaches, my renovated studio in the heart of Westwood is the choice for you.My unit is on the third (top floor) of the building so there is a beautiful skyline view from the three large windows. These windows bring lots of bright natural light, but if you choose to cover them each window has a retractable shade. There is also a skylight in the kitchen and bathroom ceilings for more natural light.I have a queen sized bed (med-firm foam mattress) which sleeps two people comfortably. If you have a third guest, I can also provide an extra single sleeper bed upon request.There is a full kitchen complete with stainless steel appliances, dish ware and utensils if you would like to prepare your own meals.There is also a medium sized desk and wi-fi available for use if you need to get any work done during your stay.I have an in-unit AC/Heater, but you are welcome to open the windows if you wish.I provide one assigned parking space. The space may be tight for larger vehicles.The UCLA campus is 1.1 miles away- 6 to 7 minute car ride- 8 minute bike ride- 18 minute UCLA Blue Bus ride- 25 minute walkGuest accessGuests will be able to utilize the entire studio apartment privately.Interaction with guestsPlease feel free to shoot me a message prior. | Beach towels Space where guests can cook their own meals Cooking basics First aid kit Beach towels Cooking basics Beachfront Bed linens BBQ grill Pots and pans, oil, salt and pepper Cooking basics Snorkeling gear Bed linens Iron BBQ grill                                                                                                   | In earum eos est maiores expedita vitae qui.                                       | A eaque voluptatem sunt ea molestiae recusandae adipisci quia consequuntur.      | Aut aliquid vero.                                                                    | Itaque qui quis non consequuntur ad aut sed.                                       | Aut maiores ex reiciendis dolorem maxime suscipit modi ut.                         | -47.7797,-1.5270   | New York,Barcelona,Honolulu,Westwood,Barcelona
         18 | Studio Apartment Minutes Away from Downtown               | New York                       | https://s3.amazonaws.com/uifaces/faces/twitter/oscarowusu/128.jpg      | Charles     | Verified  |      1 |    3 |     2 |     3 |           95 | The space. Una habitación doble en un apartamento tranquilo situada en un edificio histórico que data de la época medieval. A pocos metros se situan el Museo Picasso, boutiques independientes, galerías de arte, talleres de artistas y gran número de edificios representativos de Barcelona. Todo ello en la zona del Borne conocido por la gran cantidad de bares y restaurantes de moda que contiene.Cuando el clima lo permita se puede disfrutar en la terraza privada, que por supuesto estará a disposición de los huéspedes durante su estancia, resulta un lugar ideal para leer un libro o tomar una copa de vino después de un día de turismo.Varias estaciones de metro y paradas de autobuses están muy cerca, sin embargo la mayoría de las atracciones turísticas se encuentran a corta distancia, la catedral, Santa Maria del Mar, las playas y las Ramblas se encuentran a menos de 10 minutos.El Vaixell de papel (El barco de papel) - quiere significar algo tan frágil y al mismo tiempo capaz de una gran fortaleza!Other things to notePlease note that there will be a €40 charge payable in cash for check-ins later than 23:00pm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Heating Fire extinguisher First aid kit Bed linens Cable TV Cooking basics Private entrance Snorkeling gear Wifi Free parking on premises Iron Essentials Cooking basics Cooking basics Space where guests can cook their own meals                                                                                                              | Asperiores dicta id labore cumque ad.                                              | Pariatur amet quia in molestias dicta accusantium non assumenda est.             | Rerum quis dolores.                                                                  | Sit aut error distinctio delectus.                                                 | Amet eum nihil asperiores.                                                         | -18.8580,5.2576    | Barcelona,Punta Cana, Dominican Republic,Oakland,Honolulu,Tokyo
         21 | CLOSEST GRAND CANYON B&B/South Rim                        | Tokyo                          | https://s3.amazonaws.com/uifaces/faces/twitter/romanbulah/128.jpg      | Judy        | none      |      7 |    2 |     1 |     2 |           90 | The space. Una habitación doble en un apartamento tranquilo situada en un edificio histórico que data de la época medieval. A pocos metros se situan el Museo Picasso, boutiques independientes, galerías de arte, talleres de artistas y gran número de edificios representativos de Barcelona. Todo ello en la zona del Borne conocido por la gran cantidad de bares y restaurantes de moda que contiene.Cuando el clima lo permita se puede disfrutar en la terraza privada, que por supuesto estará a disposición de los huéspedes durante su estancia, resulta un lugar ideal para leer un libro o tomar una copa de vino después de un día de turismo.Varias estaciones de metro y paradas de autobuses están muy cerca, sin embargo la mayoría de las atracciones turísticas se encuentran a corta distancia, la catedral, Santa Maria del Mar, las playas y las Ramblas se encuentran a menos de 10 minutos.El Vaixell de papel (El barco de papel) - quiere significar algo tan frágil y al mismo tiempo capaz de una gran fortaleza!Other things to notePlease note that there will be a €40 charge payable in cash for check-ins later than 23:00pm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Beach towels Beachfront Refrigerator Dishwasher Cooking basics Cable TV Extra pillows and blankets Beachfront Refrigerator Snorkeling gear First aid kit Dishes and silverware Safety features Dishes and silverware TV                                                                                                                          | Veritatis aut dignissimos ut et.                                                   | Et dolorum officia et.                                                           | Quas aliquam suscipit eius maxime quidem qui.                                        | Repellat sed ratione corrupti quibusdam ut ratione eum.                            | Hic laudantium maiores ipsam perferendis dolore ipsa.                              | -48.9348,-103.7365 | Tokyo,Honolulu,Oakland,Austin,Honolulu
         24 | Take in a Dip in the Heated Pool at a Luxury SoCo Retreat | Honolulu                       | https://s3.amazonaws.com/uifaces/faces/twitter/nastya_mane/128.jpg     | Reginald    | Verified  |      4 |    2 |     4 |     3 |           74 | This is a quaint cabin tucked in the trees on the east shore of Lake Almanor. The warm, shallow water makes it perfect for little ones to play or hook up to a bouy to just float. Can hook a boat to the outter bouy as well. Beach is used only by neighbors so it’s quiet. There’s also a picnic table and fire pit for s’mores. Town of Chester is 10 minutes away with shops, dining, rentals, parks and soft swirl ice cream, a must! A couple hiking trails are out front door and across the street.  The spaceThe main living area is cozy and there’s a family size picnic table perfect for meals or family games. Two bedrooms off kitchen with full bath and laundry facilities. Upstairs is a loft with small library and a curtained off queen bed with half bath. Our deck is large and the perfect spot for a glass of wine or beer while you BBQ and watch the sunset over Mt. Lassen, we’re 100 feet from lakes edge. Once the sun goes down there’s string lights and a fire top table with comfortable chairs to enjoy the cool evening air. The kitchen is fully stocked with cooking utensils and plastic ware for kids. The house comfortably sleeps 6 but there’s a pull out couch for 2 more and space in the loft for an air mattress. You can also pitch a tent in front of the deck for more sleeping space. We also offer beach towels, chairs, loungers, umbrellas, two kayaks and a paddle boat for your enjoyment.Interaction with guests. We are available by phone to answer any questions but have the most fabulous neighbors who are extremely friendly and full of great information.                  | Dishwasher Safety features Private entrance Microwave Cooking basics Coffee maker BBQ grill Snorkeling gear Stove Coffee maker Smoke detector Separate street or building entrance Hair dryer Dishwasher First aid kit                                                                                                                           | Expedita tenetur similique aut perferendis non ut rerum.                           | Impedit et nihil quis nostrum nihil explicabo.                                   | Dolor placeat et velit animi consequatur qui.                                        | Iure reiciendis sed libero amet vero voluptate est.                                | Aut enim quaerat incidunt reprehenderit aspernatur velit tempora.                  | 38.8508,-140.2275  | Barcelona,San Francisco,Tokyo,Barcelona,Honolulu
         28 | Cute Quirky Garden apt, NYC adjacent                      | Honolulu                       | https://s3.amazonaws.com/uifaces/faces/twitter/9lessons/128.jpg        | Toney       | Verified  |      1 |    1 |     4 |     1 |           27 | Prime location with parking. Walking distance to UCLA. Minutes from Santa Monica, Venice, Hollywood and other tourist attractions. Full kitchen with appliances, A/C unit, and Wi-Fi.The spaceIf you are visiting Los Angeles and looking to be in a prime location within close proximity to the citys touristic attractions and famous beaches, my renovated studio in the heart of Westwood is the choice for you.My unit is on the third (top floor) of the building so there is a beautiful skyline view from the three large windows. These windows bring lots of bright natural light, but if you choose to cover them each window has a retractable shade. There is also a skylight in the kitchen and bathroom ceilings for more natural light.I have a queen sized bed (med-firm foam mattress) which sleeps two people comfortably. If you have a third guest, I can also provide an extra single sleeper bed upon request.There is a full kitchen complete with stainless steel appliances, dish ware and utensils if you would like to prepare your own meals.There is also a medium sized desk and wi-fi available for use if you need to get any work done during your stay.I have an in-unit AC/Heater, but you are welcome to open the windows if you wish.I provide one assigned parking space. The space may be tight for larger vehicles.The UCLA campus is 1.1 miles away- 6 to 7 minute car ride- 8 minute bike ride- 18 minute UCLA Blue Bus ride- 25 minute walkGuest accessGuests will be able to utilize the entire studio apartment privately.Interaction with guestsPlease feel free to shoot me a message prior. | Umbrella Cooking basics Extra pillows and blankets Bed linens Space where guests can cook their own meals Dryer Smoke detector Beach towels Coffee maker Essentials Beachfront Hair dryer Washer Kitchen Lake access                                                                                                                             | Exercitationem quia sunt.                                                          | Neque aperiam aut rerum.                                                         | Voluptatibus dolore pariatur praesentium rem repellendus.                            | Amet eius neque libero tempore autem consequatur.                                  | Et sed et.                                                                         | 22.2125,57.0588    | Austin,San Diego,San Francisco,Honolulu,San Francisco
